,title,director,distributor,distributor_group,release_date,release_season,nation,screen,rev_nationwide,aud_nationwide,genre,rate,type,starring_actors,running_times,release_year,director_power,expert_rating,sequel,original,actor_power,before_news,after_news,holiday,dist_cat,audience_rating,rating_audiences
878,기방도령,남대중,판씨네마(주),D,20190710,summer,한국,625,2327760190,286806,코미디,15세이상관람가,일반영화,"준호,정소민,최귀화",110,2019,308180,4.4,0,0,2306848,510,520,0,C,7.87962963,108
879,원스 어폰 어 타임... 인 할리우드,쿠엔틴 타란티노,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,B,20190925,autumn,미국,678,2269807670,277319,드라마,청소년관람불가,일반영화,"레오나르도 디카프리오,브래드 피트,마고 로비",161,2019,120352,7.9,0,0,3023333,51,313,0,B,8.068441065,263
880,라스트 크리스마스,폴 페이그,유니버설픽쳐스인터내셔널 코리아(유),B,20191205,winter,미국,623,2049348130,248320,코미디,12세이상관람가,일반영화,"에밀리아 클라크,헨리 골딩",103,2019,630058,5.5,0,0,1303613,34,196,0,B,7.666666667,30
881,명탐정 코난: 감청의 권,나가오카 치카,씨제이이앤엠(주),A,20190724,summer,일본,602,1740310530,219078,애니메이션,12세이상관람가,일반영화,"타카야마 미나미,야마자키 와카나,코야마 리키야",109,2019,0,6,1,1,1670552,16,223,0,A,8.444444444,63
882,커런트 워,알폰소 고메즈-레존,(주)이수C&E,B,20190822,summer,미국,276,1817540600,210945,드라마,12세이상관람가,독립/예술영화,"베네딕트 컴버배치,톰 홀랜드,니콜라스 홀트",108,2019,0,5.5,0,1,39714930,23,177,0,B,6.5,6
883,"안녕, 티라노: 영원히, 함께",시즈노 코분,(주)넥스트엔터테인먼트월드(NEW),C,20190814,summer,한국,512,1553219230,199240,애니메이션,전체관람가,독립/예술영화,"시영준,정혜원,이세은",98,2019,955889,6,1,0,891830,14,180,0,A,8.67,100
884,앵그리 버드 2: 독수리 왕국의 침공,서럽 밴 오먼,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,B,20190807,summer,미국,512,1432145073,188365,애니메이션,전체관람가,일반영화,"제이슨 서디키스,조시 게드,대니 맥브라이드",96,2019,0,6,1,1,2426296,31,156,0,B,9.1125,80
885,롱 샷,조나단 레빈,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",D,20190724,summer,미국,454,1622789797,184796,코미디,15세이상관람가,일반영화,"샤를리즈 테론,세스 로건",125,2019,0,5.5,0,0,8375008,25,169,0,C,9.293103448,116
886,엔젤 해즈 폴른,릭 로먼 워,메가박스중앙(주)플러스엠,A,20191113,autumn,미국,601,1479789022,181400,액션,15세이상관람가,일반영화,"제라드 버틀러,모건 프리먼",121,2019,3021,5,1,0,6039259,24,181,0,A,9.256410256,78
887,두번할까요,박용집,(주)리틀빅픽쳐스,D,20191017,autumn,한국,658,1449660120,174938,코미디,15세이상관람가,일반영화,"권상우,이정현,이종혁",112,2019,0,3.5,0,0,21694173,532,454,0,C,8.046875,64
